Name,All Tasks,Areas,Department,Description,"Progress ","Resources ","Start / End Date ",Status,Task Remaining,Task Remaining Displayed,"Tasks  "
Internship benchmark survey,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,"Conduct benchmark survey for cooperative masters students on internship. ",0,,"August 17, 2026 → August 22, 2026",Not started,0,Task Remaining: 0,
Create Profiles for students,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,"Create recruitment profiles for cooperative masters students to use for internships in the next cycle. ",0,,"September 1, 2026 → September 30, 2026",Not started,0,Task Remaining: 0,
Entrepreneurship training,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,Support the teaching of the entrepreneurship skills course,0,,"August 25, 2026 → September 12, 2026",Not started,0,Task Remaining: 0,
Professional Development,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,Coordinate professional development training for students.,0,,"August 24, 2026 → February 27, 2027",Not started,0,Task Remaining: 0,
Manage Sendoffs,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),AD Support,Plan and coordinate send offs for lecturers visiting the center,0,,"August 24, 2026 → April 30, 2027",Not started,0,Task Remaining: 0,
Alumni student meetups,3,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Alumni Engagement,Plan a series of alumni student meetups across the year including fireside chats and in-person meetups.,0,,"August 24, 2026 → May 4, 2027",Not started,3,Task Remaining: 3,"Fireside 1-Onboarding (https://app.notion.com/p/Fireside-1-Onboarding-3c07e487e9d4807dbe09f5fea63ff0fd?pvs=21), Fireside 2 (https://app.notion.com/p/Fireside-2-3c07e487e9d480f88e00f96dd9ea1833?pvs=21), Fireside 3 (https://app.notion.com/p/Fireside-3-3c07e487e9d4807e8231f4bd2b4986ea?pvs=21)"
International Womens Day,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,Support the planning and hosting of the international womens day event.,0,,"January 4, 2027 → March 12, 2027",Not started,0,Task Remaining: 0,
Create and host the AIMS gender symposium,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,Create and host the first edition of the AIMS gender symposium.,0,,"September 1, 2026 → May 29, 2027",Not started,0,Task Remaining: 0,
Alumni meetup 2026,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Alumni Engagement,Plan and host the 2026 alumni  reunion event.,0,,"August 24, 2026 → January 30, 2027",Not started,0,Task Remaining: 0,
AIMS Innovation Week,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Industry Relations,Plan and host the second edition of the AIMS Innovation Week.,0,,"December 1, 2026 → February 26, 2027",Not started,0,Task Remaining: 0,
Coop Defense,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,Prepare cooperative masters students for defense and provide the needed support to the academic team to close the program.,0,,"January 4, 2027 → February 26, 2027",Not started,0,Task Remaining: 0,
"Internship campaign for 2027 ",0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,Find placements for cooperative masters students for the 2027 cycle of internships.,0,,"September 30, 2026 → May 28, 2027",Not started,0,Task Remaining: 0,
Transition Planning,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,Prepare students for post AIMS life with career support and work place readiness training.,0,,"January 4, 2027 → June 1, 2027",Not started,0,Task Remaining: 0,
3MT,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,,0,,"April 1, 2027 → May 28, 2027",Not started,0,Task Remaining: 0,
Career Day,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Industry Relations,,0,,"April 2, 2027 → June 25, 2027",Not started,0,Task Remaining: 0,
Pre-intership bootcamp,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,Plan and host the preinternship bootcamp in partnership with a known business school international or local.,0,,"November 2, 2026 → July 31, 2027",Not started,0,Task Remaining: 0,
Graduation 2026,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,Support graduation planning activities,0,,"May 3, 2027 → June 30, 2027",Not started,0,Task Remaining: 0,
Internships 2027,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,Manage internships for the 2027 cycle.,0,,"July 1, 2027 → February 29, 2028",Not started,0,Task Remaining: 0,
